State,Participation Rate,EBRW,Math,Total
Alabama,7%,576,551,1127
Alaska,37%,555,543,1098
Arizona,29%,571,568,1139
Arkansas,4%,590,567,1157
California,67%,527,522,1049
Colorado,100%,511,501,1012
Connecticut,100%,527,512,1039
Delaware,100%,497,481,978
District of Columbia,100%,498,482,979
Florida,100%,512,479,992
Georgia,68%,537,516,1053
Hawaii,51%,549,546,1095
Idaho,100%,500,484,984
Illinois,98%,504,503,1007
Indiana,64%,540,534,1074
Iowa,3%,611,609,1220
Kansas,4%,617,620,1237
Kentucky,4%,609,598,1207
Louisiana,5%,597,573,1170
Maine,98%,504,491,995
Maryland,88%,522,507,1029
Massachusetts,80%,560,559,1119
Michigan,100%,503,495,998
Minnesota,4%,624,633,1257
Mississippi,3%,610,593,1203
Missouri,4%,610,603,1212
Montana,10%,598,587,1185
Nebraska,3%,615,614,1229
Nevada,17%,579,571,1150
New Hampshire,93%,531,524,1055
New Jersey,82%,541,540,1081
New Mexico,19%,533,522,1055
New York,79%,528,530,1058
North Carolina,48%,553,544,1096
North Dakota,2%,615,617,1231
Ohio,21%,536,534,1070
Oklahoma,20%,490,481,971
Oregon,51%,557,547,1104
Pennsylvania,67%,543,534,1078
Puerto Rico,—,511,481,993
Rhode Island,100%,501,489,990
South Carolina,68%,524,503,1026
South Dakota,3%,609,610,1218
Tennessee,7%,601,585,1186
Texas,73%,510,500,1010
Utah,3%,601,603,1204
Vermont,63%,559,545,1103
Virgin Islands,—,474,437,912
Virginia,65%,567,549,1116
Washington,69%,539,534,1073
West Virginia,98%,480,456,936
Wisconsin,3%,615,628,1243
Wyoming,2%,614,606,1220